rating,review_text,review_full_text
5,Mind-blowing purchase,mind blowing features in this phone
5,Perfect product!,"Very nice phone "
5,Highly recommended,Good handset
5,Brilliant,"Just amazing "
5,Best in the market!,very very Nice Product
5,Mind-blowing purchase,Camera is a monster.Weather Still or Video it's give you real DSLR feel.Faster refresh rate.Best budget phone
5,Best in the market!,Superb Phone in price range...
4,Delightful,Osssmmm just great camara ossmm performance
5,Best in the market!,Awesome best camera phone in this Budget best performance
5,Best in the market!,"Best in segment today
Display is good visibility is nice but this phone should have amoled display for better viewing experience because amoled is better far better than 90hz display but 90hz is super smooth 120hz is battery killer but 90 is perfect for this phone.

Camera is best and full of features not as sharp and crisp as poco x2 because of sony sensor.
it has tons of features will upload a camera review on YouTube.
Portrait blur in video mode is awesome front slow motion and wide ang..."
5,Super!,"It has been two days since I started using this phone. I was a bit wary of purchasing realme 6 pro being an avid iPhone user but it has proved me wrong in all the aspects.
It has fabulous display, good battery (at least better than my iPhone), has a very good sound quality and comes with myriad of features in such low budget.

Also it has lots of safety features. Two things which might not be important but is essential is that it removes and merges duplicate contacts unlike Xiaomi Or iphones...."
5,Terrific purchase,Good phone in low budget. Good Camera quality and look is also fantastic.
5,Terrific purchase,"Worth it....
1stly I Will talk about Flipkart service it is awesome everytime....
Mobile is superb...
NYC battery backup NYC display smooth touch superb design ...
Camera is also superb but after 20x zoom it doesn't give clear pic ...
Mobile don't get heated after heavy use also for this a big thumbs up....
Total I think it is a superb mob.... don't think go for it just buy ittttt....
Wowwwww"
5,Simply awesome,"Very good ultra smooth display , good battery and very good camera"
5,Wonderful,Camera quality is very good   . Super mobile
5,Must buy!,Excellent mobile
5,Highly recommended,Phone is really good go for it
5,Perfect product!,Good
5,Terrific purchase,Good
5,Classy product,"Highlights
1.Premium Design
2.Battery & 30W fast Charger
3. Snapdragon 720G.
4.90HZ ultra Smooth Display
5.Side fingerprint sensor"
5,Brilliant,Very nice  mobile I like realme Brand only. thanks Flipkart.
5,Fabulous!,"Just awesome mobile realme6pro, however I got it late bcz of delivery issue but value for wait.

Camera is just fantastic and battery get full charged in just 50mins.. Portrait shot is very good and wide selfie is amazing but wide selfie lacks in to get detailed information. Today I have updated the software and it shows many issues has been sorted.

I will share the rear camera images also once I review it. I also have channel on youtube with name B!gg Boss where I have share some front cam..."
5,Awesome,"Best phone . Camera is awesome, Value for money and awesome features.batery is good. One day backup,fast charge in 65 minutes"
5,Worth every penny,"Only problem is that it is not communicating with ""Navigation with Indian constellation"" (NavIC) as per the test result by ""GPSTest"".
(Edit) Thanks realme - my problem is resolved with the update on 17th March 2020. Really appreciate it. Thanks again.

Otherwise:-
✅ Value for money- = 5 stars (It eliminate all of it's competitors by giving some best flagship features (Excellent camera,God like gaming performance,Buttery smooth display due 90 hz refresh rate same as OnePlus 7 pro..."
5,Mind-blowing purchase,"Value for money phone...go for it
Camera : excellent...portrait mode is good...macro lens is also good
Selfie camera is on point
Performance wise this phone is a beast...pubg can be played seamlessly and smoothly
Battery is 4300 mah...but ultimately it depends on usage...if used lightly the phone cn run more than 1.5 days...if used heavily then the phone can go for 12 hours

All in all its the best deal...go for it "
4,Delightful,It's too good phone
5,Perfect product!,"This mobile is super value for money, bt l have one doubt this mobile supports widevine L1 or Not"
5,Terrific,"Average mobile,"
5,Perfect product!,Awesome...
5,Brilliant,"# This is a good Smartphone at this price rate. I know it's price little higher than Pocco x2 but there is a lots of features in their.
#This is not a super AMOLED display but Display quality is good with 90 Htz refresh rate. It runs very smoothly or it will not Disappoint you .
#Battery Back up is also Very good, It has 4300 mAh battery. I am impressed with his battery life it will give you 1 or 1.5 Day battery backup and it big Advantage it has 30 watt fast charging. It will fully charge yo..."
5,Terrific purchase,Best product
4,Value-for-money,"Overpriced but Best features
Camera best
Performance best
Battery best
Design Display best
Overall best not Excellent
If Compared POCO X2...It's Overpriced
Review from #Technical Haster"
5,Best in the market!,Excellent
5,Perfect product!,"Great camera , performance is excellent .loved it"
5,Fabulous!,Everything is fine but as an extensive user battery is little disappointing but it charge very fast. So mixed feelings and its been 1 week and i am facing some lags in 60Hz a very little lag when i use it very fast or switch apps very quickly. So overall 4/5 ❤️ BTW camera is awesome.
4,Very Good,Good camera .. but not the best as images are sometimes noisy when zoom in for a bit.. selfie camera is better than rear camera.. fast charging and battery backup are really good.. overall a good phone .. but slightly overprice.. here are my best shots from the mobile
5,Terrific,"Excellent "
5,Terrific purchase,Awesome photo shoot and awesome processer good quality
5,Perfect product!,Value for money... Good phone.
4,Good quality product,Nice mobile
5,Genuine review after five days usage.,"Undoubtedly this is a masterpiece. I took about a year to decide and am COMPLETELY satisfied. Here are the details:

* Fantastic and perfect cameras. 100% value for your money. PERFECT results. I am over satisfied (I am also a DSLR photographer). The zoom is REALLY good, try it in the daylight. Night mode is much superior as compared to the other handsets. The best part is that it has a front-facing ultra-wide-angle selfie camera too. Trust me, you'll NEVER regret once you buy it. Everything ..."
5,Simply awesome,Amg product
5,Worth every penny,Best Phone in the Market Right Now. You Can buy with eyes Closed
3,Nice,"Disappointed.

The realme x has better camera than this .. realme x has better clearity and crispy images .. what the say is pro camera seriously worst camera in this series totally disappointed kindly push update for camera"
5,Classy product,"Good product , camera, features & quality... amazing device..just awesome"
5,Must buy!,"Detailed Review - I have Been Using this phone from last 4 Days

Excellent Delivery By Flipkart Less Than 24Hrs

Pros - 1. Battery Lasts More Than 46Hrs for Heavy Usage Like Call, FB, Twitter, Live TV Etc
2. Performance - 5 Star - Not even a single second Lag
3. Camera -4.5 Star - A bit Photo Blurr of 64 MP Camera, Else than that Every Thing Is Perfect.
4. UI - Same Like Apple iPhone Controls are Fascinating. Much Better Than Color OS.

Cons - Till Date NO, Will Update Soon"
5,Wonderful,Good
5,Brilliant,Very good phone
5,Mind-blowing purchase,"I'm used Realme 1 mobile complete satisfaction for that,, After that I booked Realme 6pro.@12:21 13th dated. Awesome mobile.! all features is too good.
Realme is Every time Market breaking in mobile world. Flipkart is also Good deal gives direct customer.."
4,Really Nice,Nice
4,Nice product,Overall good mobile in this range. Value for money.
5,Wonderful,Nice product
5,Wonderful,"It's the best...
I'm experiencing both poco x2 and realme 6 pro
And I would say both are very good..
If you want a futuristic WELL BALANCED, GOOD QUALITY, DURABLE PHONE with good battery life pay a little bit extra.. go with realme otherwise if you want a good gaming oriented phone and battery doesn't matter for you go with (you know)...
Reasons to buy :-
-New processor always better than its small successer
-navic support
-future ready 90 hz display (that is greater than 60hz)
-Good (..."
5,Perfect product!,Nice phone nd camera is awesome
5,Excellent,Awesome
5,Worth every penny,Sera products.nice products
5,Worth every penny,"Great product with this price range and good packaging and 24hrs delivery.
Great mobile and performance was good  Camera quality was AwesomeThanks to realme"
5,Awesome,Good for choice
5,Highly recommended,"Best camera experience.
Charging in 30minit"
4,Wonderful,"Feeling of phone is awesome , seems heavy but ignorable. Battery life is good . Performance is enhanced with realme UI. Some notification makes you weird if you previously used android one devices but you can disabled you. Till now I am not sure that it support Google camera or not.."
5,Super!,Every one thinks tht the product is overpriced compared to pocox2 but really it worth man...
5,Classy product,Value for money. Good phone.
5,Fabulous!,Awesome camera with 64mp.
5,Perfect product!,This phone is the Best phone in india.i Love realme 6 pro.real photos real hero.
4,Really Nice,Realme 6 pro nice camera and display is awesome...Best budget mobile
5,Terrific,Super phone
5,Excellent,Camera quality best
5,Classy product,Very very nice phone realme 6 Pro
4,Wonderful,Speaker sound is low.
5,Must buy!,Good but amoled mising
4,Wonderful,"This is the review with one day usage (will update shortly for full)

Pros:

1. Good looks and build quality feels premium.
2. Interface is snappy for the price range and the skin is not very shabby or feels heavy.
3. Front camera is good and rare camera is above average (yet to test full potential)
4. For General use I've not experienced any phone heating issue.
5. Battery back up is good for general use ( yet to test out on heavy use)
6. System wide dark mode is good but doesn't help with b..."
4,Worth the money,"In hand feels very good "
5,Awesome,"This phone comes with great camera
"
5,Super!,I got the beast in my hand Today ❤️am so much happy.. Best camera and battery charge is so fast❤️ paisa vasool phone.. U won't regret.. Its awesome..
